lon_fit,lat_fit,ele_fit,width,depth,dist,Wetland_4,CatchmentSize_ha,pCO2_ppm,F_CO2_umol_m2_s,Ele_downstream,Ele_upstream,Stream_name,Ele_diff,reach_length,slope_m.m,k_m_d,Sc,K600
-78.19970624,-0.325621711,4115.551479,98,28,161.9119878,Gavilan Inlet,40.9014,496.5489676,0.16,4111.279279,4117.888253,GaviInlet,6.608974,20,0.3304487,5.051632022,1138.865094,6.959727303
-78.1997043,-0.325738711,4113.203688,82.5,24.5,174.9453207,Gavilan Inlet,41.0922,NA,1.91,4107.598473,4113.261689,GaviInlet,5.663216,20,0.2831608,NA,NA,NA
-78.19970834,-0.325780711,4111.502335,82.5,24.5,179.6446348,Gavilan Inlet,41.1138,924.8185183,0.09,4107.06145,4111.766278,GaviInlet,4.704828,20,0.2352414,0.43794151,1126.045842,0.599954786
-78.19981325,-0.326028711,4110.967611,38,38.5,209.8900981,Gavilan Inlet,41.5575,1407.279904,0.61,4104.396811,4105.017818,GaviInlet,0.621007,20,0.03105035,1.516776804,1125.725969,2.077602196
-78.19985739,-0.326101711,4109.616035,40,34.5,219.3833764,Gavilan Inlet,41.5584,789.0074568,0.43,4103.466393,4104.281324,GaviInlet,0.814931,20,0.04074655,2.843735647,1140.625551,3.92089439
-78.19987476,-0.326342711,4108.094689,68.5,29,247.8121141,Gavilan Inlet,41.5665,811.6096596,0.145,4103.327972,4103.272011,GaviInlet,-0.055961,20,-0.00279805,0.905141821,1137.380717,1.246217761
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4103.272,4103.272003,GaviInlet,3E-06,20,1.5E-07,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4103.289944,4103.417892,GaviInlet,0.127948,20,0.0063974,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4103.272896,4103.333805,GaviInlet,0.060909,20,0.00304545,NA,NA,NA
-78.19950772,-0.340090411,3948.605975,47.5,39,1.463504132,COLM,50.5062,701.356737,-0.665,3946.07251,3959.794492,Colmillo,13.721982,180,0.076233233,-5.856321849,1214.069096,-8.330498938
-78.19957917,-0.340520411,3946.810428,53.5,27,51.02666786,COLM,53.4267,NA,0.175,3943.295512,3956.415901,Colmillo,13.120389,180,0.07289105,NA,NA,NA
-78.19934683,-0.340800411,3944.615601,55,24,94.15681054,COLM,75.6369,883.8983801,0.16,3942.849854,3953.056419,Colmillo,10.206565,180,0.056703139,0.836862507,1221.557339,1.194085473
-78.19907918,-0.341160411,3940.952225,69,34.5,145.2527314,COLM,78.12,NA,1.25,3942.849854,3948.961897,Colmillo,6.112043,180,0.033955794,NA,NA,NA
-78.19878283,-0.341450411,3936.665451,NA,NA,193.670567,COLM,79.4763,761.8216451,0.075,3934.371703,3946.072802,Colmillo,11.701099,180,0.065006106,0.538056622,1225.285123,0.768901903
-78.19868222,-0.341540411,3935.450216,38,38.5,208.1086889,COLM,80.2476,840.9457288,2.47,3934.366211,3945.877537,Colmillo,11.511326,180,0.063951811,14.59731509,1174.116587,20.41986982
-78.19879791,-0.341780411,3933.003971,68.5,29,240.2440575,COLM,80.2764,NA,0.505,3933.570751,3944.632366,Colmillo,11.061615,180,0.061453417,NA,NA,NA
-78.19879954,-0.341940411,3931.936076,52,45.5,259.551666,COLM,80.2872,727.4525297,1.73,3933.040157,3943.532788,Colmillo,10.492631,180,0.058292394,14.18620057,1174.116587,19.84477057
-78.19860447,-0.342140411,3930.637613,43,64.5,290.942333,COLM,105.3261,1011.31155,0.625,3931.50577,3942.849854,Colmillo,11.344084,180,0.063022689,2.610676323,1170.577615,3.646510871
-78.19784387,-0.342620411,3929.160172,105,50.5,391.5225427,COLM,166.113,1273.369103,2.45,3929.428619,3938.203577,Colmillo,8.774958,180,0.048749767,7.076236743,1160.003973,9.839124758
-78.19773368,-0.342970411,3928.951287,130,74.5,432.8403863,COLM,166.4082,1055.136888,0.485,3928.959473,3934.304065,Colmillo,5.344592,180,0.029692178,1.889572787,1163.468697,2.631269624
