"","dist","adjusted_ppm","Totalflux_umolpers","Wetland","Wetland_4","shape","Remove","Totalfux_gpers"
"1",49.563163728,NA,4.431923785,"COLM","COLM",NA,NA,0.00019500464654
"2",92.693306408,883.8983801,9.301447864,"COLM","COLM",NA,NA,0.000409263706016
"3",143.789227268,NA,57.23906384,"COLM","COLM",NA,NA,0.00251851880896
"4",192.207062868,761.8216451,58.44223325,"COLM","COLM",NA,NA,0.002571458263
"5",206.645184768,840.9457288,84.09991463,"COLM","COLM",NA,NA,0.00370039624372
"6",238.780553368,NA,90.69553577,"COLM","COLM",NA,NA,0.00399060357388
"7",258.088161868,727.4525297,111.62551535,"COLM","COLM",NA,NA,0.0049115226754
"8",289.478828868,1011.31155,133.5270423,"COLM","COLM",NA,NA,0.0058751898612
"9",390.059038568,1273.369103,401.1043243,"COLM","COLM",NA,NA,0.0176485902692
"10",431.376882168,1055.136888,423.3113405,"COLM","COLM",NA,NA,0.018625698982
"11",487.392285268,1250.423056,478.5351236,"COLM","COLM",NA,NA,0.0210555454384
"12",520.649274668,1019.784908,526.2509934,"COLM","COLM",NA,NA,0.0231550437096
"13",553.594616068,1218.528675,572.7086006,"COLM","COLM",NA,NA,0.0251991784264
"14",579.069067468,1313.90785,609.2654684,"COLM","COLM",NA,NA,0.0268076806096
"15",606.338920668,1340.152269,624.9036995,"COLM","COLM",NA,NA,0.027495762778
"16",652.907601068,1318.547174,1000.1911925,"COLM","COLM",NA,NA,0.04400841247
"17",793.753215168,1245.17563,1040.0894088,"COLM","COLM",NA,NA,0.0457639339872
"18",852.361800268,754.3712352,1040.0894088,"COLM","COLM",NA,NA,0.0457639339872
"19",876.904636668,764.1083701,1075.5068078,"COLM","COLM",NA,NA,0.0473222995432
"20",908.179774268,819.375235,1122.6624488,"COLM","COLM",NA,NA,0.0493971477472
"21",931.763371268,836.6046946,1132.9750388,"COLM","COLM",NA,NA,0.0498509017072
"22",951.071336868,1345.388003,1138.1457058,"COLM","COLM",NA,NA,0.0500784110552
